Date,Location,Amount,Total,Percent1/3,Percent3/3,m2
2022-12-05,A Coruña - Riazor - Los Rosales,144,280000,180000,425000,3088
2022-12-05,A Coruña - Ciudad Vieja - Centro,113,395000,215000,685000,3720
2022-12-05,A Coruña,1300,220000,140000,430000,2429
2023-01-05,A Coruña - Riazor - Los Rosales,149,284000,194000,420000,3091
2023-01-05,A Coruña - Ciudad Vieja - Centro,124,360000,222000,702000,3600
2023-01-05,A Coruña,1300,228000,143000,429000,2451
2023-02-05,A Coruña - Riazor - Los Rosales,136,280000,200000,422500,3095
2023-02-05,A Coruña - Ciudad Vieja - Centro,124,322500,215000,685000,3429
2023-02-05,A Coruña,2152,228000,145000,425000,2462
2023-04-15,A Coruña - Riazor - Los Rosales,125,275000,173000,410000,3089
2023-04-15,A Coruña - Ciudad Vieja - Centro,119,360000,220000,692500,3556
2023-04-15,A Coruña,2077,235000,147000,440500,2483
2023-05-26,A Coruña - Riazor - Los Rosales,126,272500,152500,400000,2961
2023-05-26,A Coruña - Ciudad Vieja - Centro,123,350000,220000,680000,3576
2023-05-26,A Coruña,2104,229000,142000,447500,2460
2023-07-08,A Coruña - Riazor - Los Rosales,129,262000,155000,360000,2960
2023-07-08,A Coruña - Ciudad Vieja - Centro,114,369500,236000,667090,3744
2023-07-08,A Coruña,2030,246600,147000,480000,2504
2023-08-15,A Coruña - Riazor - Los Rosales,139,260000,152500,400000,2963
2023-08-15,A Coruña - Ciudad Vieja - Centro,109,395000,270000,667090,3843
2023-08-15,A Coruña,2030,245000,150000,490000,2523
2023-08-27,A Coruña - Riazor - Los Rosales,136,262000,159500,400000,2963
2023-08-27,A Coruña - Ciudad Vieja - Centro,102,465000,294500,667090,3931
2023-08-27,A Coruña,1997,240000,147565,490000,2523
2023-08-28,A Coruña - Riazor - Los Rosales,136,262000,165000,400000,2965
2023-08-28,A Coruña - Ciudad Vieja - Centro,103,450000,294500,667090,3920
2023-08-28,A Coruña,1997,240000,149000,477000,2529
2023-10-22,A Coruña - Riazor - Los Rosales,155,255000,170000,400000,2983
2023-10-22,A Coruña - Ciudad Vieja - Centro,114,467500,299000,667090,3846
2023-10-22,A Coruña,1993,248000,149000,500000,2575
